AREA,ASSET TYPE,ASSET,ASSET DESCRIPTION,REPORT STATUS,ELECTRICAL (LV & HV) SYSTEMS,UTILITIES (POWERHOUSE) ,PIPELINES & DANGEROUS GOODS SYSTEMS,CIVIL & STRUCTURAL INFRASTRUCTURE SYSTEMS,CRANE SYSTEMS,TANK SYSTEMS,PRESSURE EQUIPMENT SYSTEMS,COMBUSTION SYSTEMS,FIRE PROTECTION SYSTEMS,COMBUSTIBLE DUST SYSTEMS,MOLTEN METAL SYSTEMS (ELECTRODE & CAST HOUSE FACILITIES),INSPECTOR,INSPECTION DATE
CARBON PLANT,BUILDINGS,BLDG-ELBA-255-PI-001,PREDIO INDUSTRIAL DA AREA DE ELETRODOS,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELBA-261M-PI-001,PREDIO DE SUPRIMENTO DE OLEO E VAPOR P/ A FORNALHA,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELBA-261-PI-001,PREDIO DA AREA DE COZIMENTO DE ANODOS,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELBA-262-PI-001,PREDIO INDUSTRIAL DA AREA DE ELETRODOS,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELFA-251-PI-001,PREDIO PARA ESTOCAGEM DE PICHE,0%,SIM,N/A,N/A,SIM,N/A,SIM,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELFA-252A-PI-001,PREDIO PARA ESTOCAGEM DE COQUE,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELFA-254F-PI-001,PREDIO 254F ELETRODOS,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELFA-254G-PI-001,PREDIO DA AREA DOS AQUECEDORES DE OLEO,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELFA-254H-PI-001,SALA DE CTPV DA FABRICA DE ANODOS,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELFA-254-PI-001,PREDIO DO 254 ELETRODOS,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELFA-254Y-PI-001,PREDIO 254Y ELETRODOS,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELSA-232H-PI-001,PREDIO DA AREA DE MOAGEM DE ANODO GASTO,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,SIM,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELSA-232K-PI-001,PREDIO DA AREA DE CHUMBAMENTO DE ANODOS,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ELSA-232-PI-001,PREDIO DA AREA DE CHUMBAMENTO DE ANODOS,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,BUILDINGS,BLDG-ESAF-232A-PE-001,PREDIO DA OFICINA DE ALIMENTADORES,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,BUILDINGS,BLDG-FABS-232L-PI-001,PREDIO DA AREA DE ELETRODOS,0%,SIM,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,OVERHEAD CRANES,CRAN-ELBA-255-PR-001,PONTE ROLANTE DE 15 TON,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,OVERHEAD CRANES,CRAN-ELPC-261-PR-001,PONTE ROLANTE ECL ELETRODOS,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,OVERHEAD CRANES,CRAN-ELPC-261-PR-002,PONTE ROLANTE ECL ELETRODOS,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,OVERHEAD CRANES,CRAN-ELPC-261-PR-005,PONTE ROLANTE ECL ELETRODOS,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,OVERHEAD CRANES,CRAN-ELPC-261-PR-006,PONTE ROLANTE ECL ELETRODOS,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,OVERHEAD CRANES,CRAN-ELPC-262-PR-001,PONTE ROLANTE ECL ELETRODOS,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,OVERHEAD CRANES,CRAN-ELPC-262-PR-002,PONTE ROLANTE VILLARES,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
CARBON PLANT,OVERHEAD CRANES,CRAN-ELSA-232-PR-001,PONTE ROLANTE STARKER CRANE 15T,0%,N/A,N/A,N/A,N/A,SIM,N/A,N/A,N/A,N/A,N/A,N/A,,
